id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,default_product,variant
wc_post_id_1658,"Veļas mīkstinātājs 'Linen Care'","Veids: Spring",https://www.zupu.lv/wp-content/uploads/2020/07/Mīkstinātājs-Linen-Care.jpg,https://www.zupu.lv/product/velas-mikstinatajs-linen-care/?attribute_veids=Spring,"Sadzīves Ķīmija","zupu",9.18EUR,in stock,wc_post_id_1657,https://www.zupu.lv/grozs/?add-to-cart=1657&variation_id=1658&attribute_veids=Spring,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,9.18EUR,new,published,,"veids:Spring/Summer Breeze:Spring"
wc_post_id_1659,"Veļas mīkstinātājs 'Linen Care'","Veids: Summer Breeze",https://www.zupu.lv/wp-content/uploads/2020/07/Mīkstinātājs-Linen-Care.jpg,https://www.zupu.lv/product/velas-mikstinatajs-linen-care/?attribute_veids=Summer+Breeze,"Sadzīves Ķīmija","zupu",9.18EUR,in stock,wc_post_id_1657,https://www.zupu.lv/grozs/?add-to-cart=1657&variation_id=1659&attribute_veids=Summer+Breeze,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,9.18EUR,new,published,,"veids:Spring/Summer Breeze:Summer Breeze"
wc_post_id_1655,"Šķidrais veļas mazg. līdz. “Ariel color XXL pack”","3.85l, 70 mazg. reizēm ",https://www.zupu.lv/wp-content/uploads/2020/07/Šķidrais-veļas-mazg.-līdz.-“Ariel-color-XXL-pack”.jpg,https://www.zupu.lv/product/sk%cc%a7idrais-vel%cc%a7as-mazg-lidz-ariel-color-xxl-pack/,"Sadzīves Ķīmija","zupu",15.35EUR,in stock,wc_post_id_1655,https://www.zupu.lv/grozs/?add-to-cart=1655,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,15.35EUR,new,published,,
wc_post_id_1653,"Šķidrais veļas mazgāšanas līdzeklis “Ariel professional”, 90 mazg. reizēm","90 Mazgāšanas reizēm. ",https://www.zupu.lv/wp-content/uploads/2020/07/Šķidrais-veļas-mazgāšanas-līdzeklis-“Ariel-professional”-90-mazg.-reizēm.jpg,https://www.zupu.lv/product/skidrais-velas-mazgasanas-lidzeklis-ariel-professional-90-mazg-reizem/,"Sadzīves Ķīmija","zupu",19.45EUR,in stock,wc_post_id_1653,https://www.zupu.lv/grozs/?add-to-cart=1653,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,19.45EUR,new,published,,
wc_post_id_1651,"Veļas pulveris “Ariel professional +”, 13 kg","Veļas pulveris “Ariel professional +”, 13 kg",https://www.zupu.lv/wp-content/uploads/2020/07/Veļas-pulveris-“Ariel-professional-”.jpg,https://www.zupu.lv/product/vel%cc%a7as-pulveris-ariel-professional-13-kg/,"Sadzīves Ķīmija","zupu",37.5EUR,in stock,wc_post_id_1651,https://www.zupu.lv/grozs/?add-to-cart=1651,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,37.5EUR,new,published,,
wc_post_id_1649,"Ariel Formula Professional veļas mazgāšanas pulveris 13kg","Ariel Formula Professional veļas mazgāšanas pulveris 13kg.Der gan krāsainajām, gan melbaltām drēbēm!",https://www.zupu.lv/wp-content/uploads/2020/07/Ariel-Formula-Professional-veļas-mazgāšanas-pulveris-13kg.jpg,https://www.zupu.lv/product/ariel-formula-professional-velas-mazgasanas-pulveris-13kg/,"Sadzīves Ķīmija","zupu",43EUR,in stock,wc_post_id_1649,https://www.zupu.lv/grozs/?add-to-cart=1649,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,43EUR,new,published,,
wc_post_id_1647,"Ariel Regular veļas mazgāšanas pulveris 100 mazg. reizēm/ 7.5kg","100 mazgāšanas reizēm. Krāsainām drēbēm.",https://www.zupu.lv/wp-content/uploads/2020/07/Ariel-Regular-veļas-mazgāšanas-pulveris-100-mazg.-reizēm-7.5kg.jpg,https://www.zupu.lv/product/ariel-regular-velas-mazgasanas-pulveris-100-mazg-reizem-7-5kg/,"Sadzīves Ķīmija","zupu",28EUR,in stock,wc_post_id_1647,https://www.zupu.lv/grozs/?add-to-cart=1647,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,28EUR,new,published,,
wc_post_id_1642,"PAMPERS Premium Care No.1 Newborn Jumbo 78","Extra Dry: absorbcijas sistēma nodrošina līdz pat 12 stundām sausumu.Elpojošs mikroporu membrāna, caur kuru svaigs gaiss ienāk un iziet, bet losjons ar alveju palīdz aizsargāt mazuļa ādu.Gumijas autiņu malas ideāli pieguļ bērna ķermenim.Materiāls ir mīksts kā kokvilna Lielais Pampers iepakojums pašiem pašiem mazākajiem. 78 autiņbiksītes.",https://www.zupu.lv/wp-content/uploads/2020/07/PAMPERS-Premium-Care-No.1-Newborn-Jumbo-78.jpg,https://www.zupu.lv/product/pampers-premium-care-no-1-newborn-jumbo-78/,"Bērnu higiēnas preces","zupu",12.1EUR,in stock,wc_post_id_1642,https://www.zupu.lv/grozs/?add-to-cart=1642,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,12.1EUR,new,published,,
wc_post_id_1640,"PAMPERS Premium Care No.2 Jumbo 68","Extra Dry: absorbcijas sistēma nodrošina līdz pat 12 stundām sausumu.Elpojošs mikroporu membrāna, caur kuru svaigs gaiss ienāk un iziet, bet losjons ar alveju palīdz aizsargāt mazuļa ādu.Gumijas autiņu malas ideāli pieguļ bērna ķermenim.Materiāls ir mīksts kā kokvilna 2 izmērs. Piemērots mazuļiem svarā: 3-6 Kg. 68 autiņbiksītes",https://www.zupu.lv/wp-content/uploads/2020/07/PAMPERS-Premium-Care-No.2-Jumbo-68.jpg,https://www.zupu.lv/product/pampers-premium-care-no-2-jumbo-68/,"Bērnu higiēnas preces","zupu",12.1EUR,in stock,wc_post_id_1640,https://www.zupu.lv/grozs/?add-to-cart=1640,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,12.1EUR,new,published,,
wc_post_id_1638,"PAMPERS Pants No.3 Jumbo 60","Extra Dry: absorbcijas sistēma nodrošina līdz pat 12 stundām sausumu.Elpojošs mikroporu membrāna, caur kuru svaigs gaiss ienāk un iziet, bet losjons ar alveju palīdz aizsargāt mazuļa ādu.Gumijas autiņu malas ideāli pieguļ bērna ķermenim.Materiāls ir mīksts kā kokvilna 3 izmērs. Piemērots mazuļiem svarā: 6-11 Kg. 60 autiņbiksītes.",https://www.zupu.lv/wp-content/uploads/2020/07/PAMPERS-Pants-No.3-Jumbo-60.jpg,https://www.zupu.lv/product/pampers-pants-no-3-jumbo-60/,"Bērnu higiēnas preces","zupu",12.1EUR,in stock,wc_post_id_1638,https://www.zupu.lv/grozs/?add-to-cart=1638,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,12.1EUR,new,published,,
wc_post_id_1636,"PAMPERS Pants No.4 Jumbo 52","Extra Dry: absorbcijas sistēma nodrošina līdz pat 12 stundām sausumu.Elpojošs mikroporu membrāna, caur kuru svaigs gaiss ienāk un iziet, bet losjons ar alveju palīdz aizsargāt mazuļa ādu.Gumijas autiņu malas ideāli pieguļ bērna ķermenim.Materiāls ir mīksts kā kokvilna 4 izmērs. Piemērots mazuļiem svarā: 9-14 Kg. 52 autiņbiksītes.",https://www.zupu.lv/wp-content/uploads/2020/07/pampers4.png,https://www.zupu.lv/product/pampers-pants-no-4-jumbo-52/,"Bērnu higiēnas preces","zupu",12.1EUR,in stock,wc_post_id_1636,https://www.zupu.lv/grozs/?add-to-cart=1636,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,12.1EUR,new,published,,
wc_post_id_1634,"PAMPERS Pants No.5 Jumbo 48","Extra Dry: absorbcijas sistēma nodrošina līdz pat 12 stundām sausumu.Elpojošs mikroporu membrāna, caur kuru svaigs gaiss ienāk un iziet, bet losjons ar alveju palīdz aizsargāt mazuļa ādu.Gumijas autiņu malas ideāli pieguļ bērna ķermenim.Materiāls ir mīksts kā kokvilna Piemērots mazuļiem svarā: 12-18 Kg. 5 izmērs. 44 autiņbiksītes",https://www.zupu.lv/wp-content/uploads/2020/07/PAMPERS-Pants-No.5-Jumbo-48.jpg,https://www.zupu.lv/product/pampers-pants-no-5-jumbo-48/,"Bērnu higiēnas preces","zupu",12.1EUR,in stock,wc_post_id_1634,https://www.zupu.lv/grozs/?add-to-cart=1634,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,12.1EUR,new,published,,
wc_post_id_1632,"PAMPERS Pants No.6 Jumbo 44","Extra Dry: absorbcijas sistēma nodrošina līdz pat 12 stundām sausumu.Elpojošs mikroporu membrāna, caur kuru svaigs gaiss ienāk un iziet, bet losjons ar alveju palīdz aizsargāt mazuļa ādu.Gumijas autiņu malas ideāli pieguļ bērna ķermenim.Materiāls ir mīksts kā kokvilna Piemērots mazuļiem svarā: 16+ Kg. 6 izmērs. 44 autiņbiksītes.",https://www.zupu.lv/wp-content/uploads/2020/07/PAMPERS-Pants-No.6-Jumbo-44.jpg,https://www.zupu.lv/product/pampers-pants-no-6-jumbo-44/,"Bērnu higiēnas preces","zupu",10.3EUR,in stock,wc_post_id_1632,https://www.zupu.lv/grozs/?add-to-cart=1632,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,10.3EUR,new,published,,
wc_post_id_1625,"Gāzēts dzēriens 'Pepsi'","Tilpums: 1.5l",https://www.zupu.lv/wp-content/uploads/2020/07/pepsi-1.5.jpg,https://www.zupu.lv/product/gazets-dzeriens-pepsi/?attribute_tilpums=1.5l,"Dzērieni","zupu",1.1EUR,in stock,wc_post_id_1624,https://www.zupu.lv/grozs/?add-to-cart=1624&variation_id=1625&attribute_tilpums=1.5l,"https://www.zupu.lv/wp-content/uploads/2020/07/pepsi-0.5.png,https://www.zupu.lv/wp-content/uploads/2020/07/pepsi-0.33.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,1.1EUR,new,published,,"tilpums:1.5l/0.5l/0.33l bundžiņa:1.5l"
wc_post_id_1626,"Gāzēts dzēriens 'Pepsi'","Tilpums: 0.5l",https://www.zupu.lv/wp-content/uploads/2020/07/pepsi-0.5.png,https://www.zupu.lv/product/gazets-dzeriens-pepsi/?attribute_tilpums=0.5l,"Dzērieni","zupu",0.68EUR,in stock,wc_post_id_1624,https://www.zupu.lv/grozs/?add-to-cart=1624&variation_id=1626&attribute_tilpums=0.5l,"https://www.zupu.lv/wp-content/uploads/2020/07/pepsi-1.5.jpg,https://www.zupu.lv/wp-content/uploads/2020/07/pepsi-0.5.png,https://www.zupu.lv/wp-content/uploads/2020/07/pepsi-0.33.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,0.68EUR,new,published,,"tilpums:1.5l/0.5l/0.33l bundžiņa:0.5l"
wc_post_id_1627,"Gāzēts dzēriens 'Pepsi'","Tilpums: 0.33l bundžiņa",https://www.zupu.lv/wp-content/uploads/2020/07/pepsi-0.33.jpg,https://www.zupu.lv/product/gazets-dzeriens-pepsi/?attribute_tilpums=0.33l+bund%C5%BEi%C5%86a,"Dzērieni","zupu",0.43EUR,in stock,wc_post_id_1624,https://www.zupu.lv/grozs/?add-to-cart=1624&variation_id=1627&attribute_tilpums=0.33l+bund%C5%BEi%C5%86a,"https://www.zupu.lv/wp-content/uploads/2020/07/pepsi-1.5.jpg,https://www.zupu.lv/wp-content/uploads/2020/07/pepsi-0.5.png,https://www.zupu.lv/wp-content/uploads/2020/07/pepsi-0.33.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,0.43EUR,new,published,,"tilpums:1.5l/0.5l/0.33l bundžiņa:0.33l bundžiņa"
wc_post_id_1617,"Gāzēts dzēriens '7up'","Tilpums: 1.5l",https://www.zupu.lv/wp-content/uploads/2020/07/7up-15l.png,https://www.zupu.lv/product/gazets-dzeriens-7up/?attribute_tilpums=1.5l,"Dzērieni","zupu",1.1EUR,in stock,wc_post_id_1616,https://www.zupu.lv/grozs/?add-to-cart=1616&variation_id=1617&attribute_tilpums=1.5l,"https://www.zupu.lv/wp-content/uploads/2020/07/7up-05l.jpg,https://www.zupu.lv/wp-content/uploads/2020/07/7-7up-1-Litre.jpg,https://www.zupu.lv/wp-content/uploads/2020/07/7up-033.jpg,https://www.zupu.lv/wp-content/uploads/2020/07/7up-15l.png",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,1.1EUR,new,published,,"tilpums:1.5l/0.5l/0.33l bundžiņa:1.5l"
wc_post_id_1618,"Gāzēts dzēriens '7up'","Tilpums: 0.5l",https://www.zupu.lv/wp-content/uploads/2020/07/7up-05l.jpg,https://www.zupu.lv/product/gazets-dzeriens-7up/?attribute_tilpums=0.5l,"Dzērieni","zupu",0.1EUR,in stock,wc_post_id_1616,https://www.zupu.lv/grozs/?add-to-cart=1616&variation_id=1618&attribute_tilpums=0.5l,"https://www.zupu.lv/wp-content/uploads/2020/07/7up-15l.png,https://www.zupu.lv/wp-content/uploads/2020/07/7up-05l.jpg,https://www.zupu.lv/wp-content/uploads/2020/07/7-7up-1-Litre.jpg,https://www.zupu.lv/wp-content/uploads/2020/07/7up-033.jpg,https://www.zupu.lv/wp-content/uploads/2020/07/7up-15l.png",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,0.1EUR,new,published,,"tilpums:1.5l/0.5l/0.33l bundžiņa:0.5l"
wc_post_id_1619,"Gāzēts dzēriens '7up'","Tilpums: 0.33l bundžiņa",https://www.zupu.lv/wp-content/uploads/2020/07/7up-033.jpg,https://www.zupu.lv/product/gazets-dzeriens-7up/?attribute_tilpums=0.33l+bund%C5%BEi%C5%86a,"Dzērieni","zupu",0.44EUR,in stock,wc_post_id_1616,https://www.zupu.lv/grozs/?add-to-cart=1616&variation_id=1619&attribute_tilpums=0.33l+bund%C5%BEi%C5%86a,"https://www.zupu.lv/wp-content/uploads/2020/07/7up-15l.png,https://www.zupu.lv/wp-content/uploads/2020/07/7up-05l.jpg,https://www.zupu.lv/wp-content/uploads/2020/07/7-7up-1-Litre.jpg,https://www.zupu.lv/wp-content/uploads/2020/07/7up-033.jpg,https://www.zupu.lv/wp-content/uploads/2020/07/7up-15l.png",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,0.44EUR,new,published,,"tilpums:1.5l/0.5l/0.33l bundžiņa:0.33l bundžiņa"
wc_post_id_1613,"Gāzēts dzēriens 'Sprite'","Tilpums: 0.33 bundžiņa",https://www.zupu.lv/wp-content/uploads/2020/07/sprite-bundzina.png,https://www.zupu.lv/product/gazets-dzeriens-sprite/?attribute_tilpums=0.33+bund%C5%BEi%C5%86a,"Dzērieni","zupu",0.51EUR,in stock,wc_post_id_1608,https://www.zupu.lv/grozs/?add-to-cart=1608&variation_id=1613&attribute_tilpums=0.33+bund%C5%BEi%C5%86a,"https://www.zupu.lv/wp-content/uploads/2020/07/sprite.jpg,https://www.zupu.lv/wp-content/uploads/2020/07/sprite-0.5.jpg,https://www.zupu.lv/wp-content/uploads/2020/07/sprite-bundzina.png",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,0.51EUR,new,published,,"tilpums:2l/1.5l/1l/0.5l/0.33 bundžiņa:0.33 bundžiņa"
wc_post_id_1610,"Gāzēts dzēriens 'Sprite'","Tilpums: 1.5l",https://www.zupu.lv/wp-content/uploads/2020/07/sprite.jpg,https://www.zupu.lv/product/gazets-dzeriens-sprite/?attribute_tilpums=1.5l,"Dzērieni","zupu",1.35EUR,in stock,wc_post_id_1608,https://www.zupu.lv/grozs/?add-to-cart=1608&variation_id=1610&attribute_tilpums=1.5l,"https://www.zupu.lv/wp-content/uploads/2020/07/sprite-0.5.jpg,https://www.zupu.lv/wp-content/uploads/2020/07/sprite-bundzina.png",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,1.35EUR,new,published,,"tilpums:2l/1.5l/1l/0.5l/0.33 bundžiņa:1.5l"
wc_post_id_1611,"Gāzēts dzēriens 'Sprite'","Tilpums: 1l",https://www.zupu.lv/wp-content/uploads/2020/07/sprite.jpg,https://www.zupu.lv/product/gazets-dzeriens-sprite/?attribute_tilpums=1l,"Dzērieni","zupu",0.99EUR,in stock,wc_post_id_1608,https://www.zupu.lv/grozs/?add-to-cart=1608&variation_id=1611&attribute_tilpums=1l,"https://www.zupu.lv/wp-content/uploads/2020/07/sprite-0.5.jpg,https://www.zupu.lv/wp-content/uploads/2020/07/sprite-bundzina.png",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,0.99EUR,new,published,,"tilpums:2l/1.5l/1l/0.5l/0.33 bundžiņa:1l"
